Study,Sample,Sample_Type,DPN,Sample_Vol,InteritE_DNA,IntegritE_Cq,IntegritE_Total,IntegritE_Copies,IntegritE_SE,I6S_DNA,I6S_Cq,I6S_Total,I6S_Copies,I6S_SE,NosZI_DNA,NosZI_Cq,NosZI_Total,NosZI_Copies,NosZI_SE,NosZII_DNA,NosZII_Total,NosZII_Copies,NosZII_SE,Notes
PCS2019,83,cDNA,34,4.97,"6,097,488.67",13.41,22384034695,4504554998,1631,"15,872,025.98",13.33,60140681204,12102688804,277221956,268.64,26.35,920446,185230,6339,123.25,417070,83931,8276,
PCS2019,83,cDNA,34,,"5,258,899.99",13.63,,,,"14,757,543.92",13.44,,,,223.04,26.63,,,,112.92,,,,
PCS2019,83,cDNA,34,,"7,165,533.89",13.17,,,,"17,070,673.14",13.22,,,,268.64,26.35,,,,145.15,,,,
PCS2019,83,cDNA,34,,"4,916,857.24",13.73,,,,"14,855,541.05",13.43,,,,232.11,26.57,,,,103.45,,,,
PCS2019,83,cDNA,34,,,,,,,"17,298,140.69",13.2,,,,258.14,26.41,,,,94.22,,,,
PCS2019,83,cDNA,34,,,,,,,"14,757,543.92",13.44,,,,233.65,26.56,,,,70.36,,,,
PCS2019,83,cDNA,34,,,,,,,"16,083,521.50",13.31,,,,241.55,26.51,,,,152.09,,,,
PCS2019,83,cDNA,34,,,,,,,"15,254,080.38",13.39,,,,201.88,26.78,,,,72.02,,,,
PCS2019,58,gDNA,35,0.66,"595,083.56",16.87,27840645,42125352,2755,"1,380,329.45",17.02,72772842,110111729,4138008,"47,833.00",18.55,2251515,3406741,116116,"238,578.47",13305157,20131876,1125071,
PCS2019,58,gDNA,35,,"541,611.30",17.01,,,,"1,474,777.98",16.92,,,,"46,270.15",18.6,,,,"290,977.90",,,,
PCS2019,58,gDNA,35,,"548,945.44",16.99,,,,"1,661,367.27",16.74,,,,"49,448.64",18.5,,,,"263,478.77",,,,
PCS2019,58,gDNA,35,,"541,611.30",17.01,,,,"1,217,220.78",17.21,,,,"40,512.98",18.8,,,,"258,903.07",,,,
PCS2019,58,gDNA,35,,,,,,,"1,426,772.40",16.97,,,,"47,516.26",18.56,,,,"338,687.87",,,,
PCS2019,58,gDNA,35,,,,,,,"1,639,520.58",16.76,,,,"45,963.77",18.61,,,,"265,021.90",,,,
PCS2019,58,gDNA,35,,,,,,,"1,534,521.51",16.86,,,,"46,270.15",18.6,,,,"280,959.14",,,,
PCS2019,58,gDNA,35,,,,,,,"1,309,144.66",17.1,,,,"36,427.45",18.96,,,,"192,218.00",,,,
BIOS2020,D8,gDNA,36,0.35,607.78,27.11,138620,392024,573,"965,529.92",17.56,43714318,123626465,7474140,"27,741.50",19.37,1177727,3330676,142896,"181,314.55",9944316,28123065,975674,
BIOS2020,D8,gDNA,36,,"6,751.04",23.53,,,,"978,395.66",17.54,,,,"24,614.67",19.55,,,,"188,879.86",,,,
BIOS2020,D8,gDNA,36,,"2,971.95",24.75,,,,"1,059,271.25",17.42,,,,"21,267.51",19.77,,,,"208,593.14",,,,
BIOS2020,D8,gDNA,36,,758.81,26.78,,,,"765,882.45",17.91,,,,"21,551.98",19.75,,,,"206,171.08",,,,
BIOS2020,D8,gDNA,36,,,,,,,"776,087.87",17.89,,,,"24,289.76",19.57,,,,"234,435.20",,,,
BIOS2020,D8,gDNA,36,,,,,,,"965,529.92",17.56,,,,"23,969.15",19.59,,,,"199,072.33",,,,
BIOS2020,D8,gDNA,36,,,,,,,"880,084.33",17.7,,,,"26,131.36",19.46,,,,"202,590.62",,,,
BIOS2020,D8,gDNA,36,,,,,,,"603,509.49",18.27,,,,"18,870.37",19.95,,,,"170,033.75",,,,
PCS2019,35,cDNA,37,3.26,"65,993.14",20.14,163363450,50077693,19,"154,368.94",20.33,375809839,115201348,3429173,2.32,33.5,11084,3398,698,1.04,25714,7882,2223,
PCS2019,35,cDNA,37,,"71,060.27",20.03,,,,"149,344.07",20.38,,,,6.25,32.01,,,,25.03,,,,
PCS2019,35,cDNA,37,,"56,535.60",20.37,,,,"158,510.30",20.29,,,,2.57,33.35,,,,14.04,,,,
PCS2019,35,cDNA,37,,"67,792.51",20.1,,,,"149,344.07",20.38,,,,5.33,32.25,,,,1.93,,,,
PCS2019,35,cDNA,37,,,,,,,"125,734.33",20.64,,,,4.2,32.61,,,,3.24,,,,
PCS2019,35,cDNA,37,,,,,,,"142,582.84",20.45,,,,1.57,34.09,,,,13.8,,,,
PCS2019,35,cDNA,37,,,,,,,"169,356.31",20.19,,,,3.72,32.79,,,,14.71,,,,
PCS2019,35,cDNA,37,,,,,,,"153,350.62",20.34,,,,9.5,31.38,,,,8.5,,,,
PCS2019,61,cDNA,38,5.04,"230,544.54",18.28,525954036,104393243,45,"557,431.41",18.39,1351453512,268241338,9927465,15.33,30.66,31268,6206,460,7.05,17248,3424,618,
PCS2019,61,cDNA,38,,"188,422.56",18.58,,,,"595,573.45",18.29,,,,16.6,30.54,,,,14.12,,,,
PCS2019,61,cDNA,38,,"228,999.27",18.29,,,,"514,871.39",18.51,,,,9.44,31.39,,,,9.33,,,,
PCS2019,61,cDNA,38,,"193,560.09",18.54,,,,"518,290.39",18.5,,,,10.93,31.17,,,,4.17,,,,
PCS2019,61,cDNA,38,,,,,,,"451,035.76",18.71,,,,12.23,31,,,,4.07,,,,
PCS2019,61,cDNA,38,,,,,,,"619,700.24",18.23,,,,11.68,31.07,,,,7.65,,,,
PCS2019,61,cDNA,38,,,,,,,"491,561.70",18.58,,,,9.69,31.35,,,,4.07,,,,
PCS2019,61,cDNA,38,,,,,,,"576,186.90",18.34,,,,14.16,30.78,,,,4.74,,,,
PCS2019,52,gDNA,39,0.7,"502,990.37",17.12,23715819,33725568,3329,"1,241,630.94",17.18,64007093,91022601,3103301,"47,516.26",18.56,2357640,3352730,125366,"231,713.08",10546340,14997639,388586,
PCS2019,52,gDNA,39,,"502,990.37",17.12,,,,"1,300,508.67",17.11,,,,"48,151.85",18.54,,,,"206,171.08",,,,
PCS2019,52,gDNA,39,,"445,642.40",17.3,,,,"1,455,384.91",16.94,,,,"49,121.20",18.51,,,,"217,296.64",,,,
PCS2019,52,gDNA,39,,"445,642.40",17.3,,,,"1,225,303.71",17.2,,,,"42,160.55",18.74,,,,"200,238.25",,,,
PCS2019,52,gDNA,39,,,,,,,"1,116,869.16",17.34,,,,"47,516.26",18.56,,,,"226,363.28",,,,
PCS2019,52,gDNA,39,,,,,,,"1,426,772.40",16.97,,,,"56,852.08",18.29,,,,"221,137.01",,,,
PCS2019,52,gDNA,39,,,,,,,"1,335,398.27",17.07,,,,"45,659.41",18.62,,,,"195,615.15",,,,
PCS2019,52,gDNA,39,,,,,,,"1,139,266.87",17.31,,,,"40,244.72",18.81,,,,"188,879.86",,,,
PCS2019,51,cDNA,40,5,"11,707,440.06",12.44,30289774258,6055048428,5224,"6,079,193.02",14.78,20271321583,4052319203,62477089,37.59,29.31,183248,36632,2644,80.47,219507,43880,3433,
PCS2019,51,cDNA,40,,"11,628,968.97",12.45,,,,"5,578,004.67",14.91,,,,56.75,28.69,,,,59.75,,,,
PCS2019,51,cDNA,40,,"6,882,150.51",13.23,,,,"6,242,283.51",14.74,,,,55.63,28.72,,,,52.24,,,,
PCS2019,51,cDNA,40,,"6,056,619.22",13.42,,,,"5,842,511.79",14.84,,,,43.8,29.08,,,,56.69,,,,
PCS2019,51,cDNA,40,,,,,,,"6,119,561.76",14.77,,,,47.75,28.95,,,,62.24,,,,
PCS2019,51,cDNA,40,,,,,,,"6,452,313.13",14.69,,,,71.14,28.35,,,,92.04,,,,
PCS2019,51,cDNA,40,,,,,,,"6,039,090.58",14.79,,,,62.29,28.55,,,,50.73,,,,
PCS2019,51,cDNA,40,,,,,,,"6,201,105.22",14.75,,,,63.96,28.51,,,,71.6,,,,
BIOS2020,D1,gDNA,41,0.37,"1,436,130.02",15.56,59080717,158563385,39934,"1,258,175.73",17.16,70987353,190518929,6704387,"15,358.01",20.26,690996,1854526,79006,"272,874.19",12066420,32384381,779671,
BIOS2020,D1,gDNA,41,,"998,790.19",16.1,,,,"1,398,722.41",17,,,,"11,852.42",20.65,,,,"239,975.77",,,,
