Study,Sample,Sample_Type,DPN,Sample_Vol,InteritE_DNA,IntegritE_Cq,IntegritE_Total,IntegritE_Copies,IntegritE_SE,I6S_DNA,I6S_Cq,I6S_Total,I6S_Copies,I6S_SE,NosZI_DNA,NosZI_Cq,NosZI_Total,NosZI_Copies,NosZI_SE,NosZII_DNA,NosZII_Total,NosZII_Copies,NosZII_SE,Notes
BIOS2020,D5,gDNA,9,,"552,649.66",16.98,,,,"1,266,530.62",17.15,,,,"18,012.88",20.02,,,,"249,988.69",,,,
BIOS2020,D5,gDNA,9,,,,,,,"1,417,360.45",16.98,,,,"17,194.35",20.09,,,,"258,903.07",,,,
BIOS2020,D5,gDNA,9,,,,,,,"1,300,508.67",17.11,,,,"17,424.34",20.07,,,,"230,363.89",,,,
BIOS2020,D5,gDNA,9,,,,,,,"1,408,010.59",16.99,,,,"16,089.12",20.19,,,,"231,713.08",,,,
BIOS2020,D5,gDNA,9,,,,,,,"1,146,832.14",17.3,,,,"13,626.96",20.44,,,,"214,773.52",,,,
PCS2019,80,gDNA,10,0.7,"636,480.74",16.77,29499307,41860801,6722,"1,344,265.95",17.06,70626030,100221413,2151743,"31,894.96",19.16,1561207,2215420,62193,"297,854.77",12680139,17993670,776862,
PCS2019,80,gDNA,10,,"658,247.05",16.72,,,,"1,353,192.51",17.05,,,,"33,192.05",19.1,,,,"242,794.96",,,,
PCS2019,80,gDNA,10,,"527,235.68",17.05,,,,"1,335,398.27",17.07,,,,"31,683.76",19.17,,,,"257,395.57",,,,
PCS2019,80,gDNA,10,,"537,981.06",17.02,,,,"1,389,495.49",17.01,,,,"32,107.57",19.15,,,,"227,689.04",,,,
PCS2019,80,gDNA,10,,,,,,,"1,596,685.26",16.8,,,,"28,299.97",19.34,,,,"255,896.84",,,,
PCS2019,80,gDNA,10,,,,,,,"1,455,384.91",16.94,,,,"34,772.14",19.03,,,,"299,599.24",,,,
PCS2019,80,gDNA,10,,,,,,,"1,436,246.85",16.96,,,,"30,648.56",19.22,,,,"229,022.56",,,,
PCS2019,80,gDNA,10,,,,,,,"1,389,495.49",17.01,,,,"27,194.06",19.4,,,,"218,569.29",,,,
PCS2019,70,gDNA,11,0.75,"694,631.98",16.64,29047021,38621222,7272,"2,896,772.19",15.9,121496321,161542774,4877155,"74,652.64",17.88,3629543,4825879,155151,"261,944.62",11899257,15821376,776971,
PCS2019,70,gDNA,11,,"563,913.00",16.95,,,,"2,282,634.27",16.26,,,,"69,854.09",17.98,,,,"221,137.01",,,,
PCS2019,70,gDNA,11,,"537,981.06",17.02,,,,"2,390,876.02",16.19,,,,"81,386.91",17.75,,,,"268,135.33",,,,
PCS2019,70,gDNA,11,,"527,235.68",17.05,,,,"2,375,104.20",16.2,,,,"65,799.68",18.07,,,,"222,432.15",,,,
PCS2019,70,gDNA,11,,,,,,,"2,520,879.99",16.11,,,,"64,931.15",18.09,,,,"245,647.27",,,,
PCS2019,70,gDNA,11,,,,,,,"2,252,618.02",16.28,,,,"68,932.04",18,,,,"199,072.33",,,,
PCS2019,70,gDNA,11,,,,,,,"2,422,734.56",16.17,,,,"82,475.55",17.73,,,,"287,599.23",,,,
PCS2019,70,gDNA,11,,,,,,,"2,297,792.04",16.25,,,,"72,694.88",17.92,,,,"197,913.20",,,,
BIOS2020,D3,gDNA,12,0.38,"502,990.37",17.12,25620255,66981059,6548,"572,385.98",18.35,17646081,46133546,9179365,275.87,26.31,8887,23233,2708,962.75,41975,109738,9658,Outlier
BIOS2020,D3,gDNA,12,,"563,913.00",16.95,,,,"557,431.41",18.39,,,,152.73,27.2,,,,731.67,,,,
BIOS2020,D3,gDNA,12,,"499,618.99",17.13,,,,"504,749.15",18.54,,,,144.82,27.28,,,,"1,201.96",,,,
BIOS2020,D3,gDNA,12,,"483,098.05",17.18,,,,"355,412.72",19.07,,,,157.88,27.15,,,,851.64,,,,
BIOS2020,D3,gDNA,12,,,,,,,"251,921.21",19.59,,,,263.34,26.38,,,,856.63,,,,
BIOS2020,D3,gDNA,12,,,,,,,"23,719.62",23.16,,,,169.85,27.04,,,,929.6,,,,
BIOS2020,D3,gDNA,12,,,,,,,"149,344.07",20.38,,,,135.51,27.38,,,,503.5,,,,
BIOS2020,D3,gDNA,12,,,,,,,"408,408.85",18.86,,,,121.85,27.54,,,,678.18,,,,
PCS2019,5,gDNA,13,0.7,"946,473.41",16.18,45920513,65835861,1963,"4,727,365.09",15.16,218389933,313103846,7460146,"152,989.47",16.8,7219407,10350404,240745,"521,763.87",21662241,31056976,1058466,Outlier
PCS2019,5,gDNA,13,,"902,949.16",16.25,,,,"4,280,586.78",15.31,,,,"149,970.40",16.83,,,,"420,374.95",,,,
PCS2019,5,gDNA,13,,"909,042.17",16.24,,,,"4,790,357.46",15.14,,,,"130,440.80",17.04,,,,"432,830.17",,,,
PCS2019,5,gDNA,13,,"915,176.29",16.23,,,,"4,113,930.69",15.37,,,,"155,035.88",16.78,,,,"437,914.98",,,,
PCS2019,5,gDNA,13,,,,,,,"4,573,484.35",15.21,,,,"133,066.73",17.01,,,,"432,830.17",,,,
PCS2019,5,gDNA,13,,,,,,,"4,224,297.80",15.33,,,,"137,561.27",16.96,,,,"403,537.45",,,,
PCS2019,5,gDNA,13,,,,,,,"3,980,017.89",15.42,,,,"150,970.08",16.82,,,,"440,479.75",,,,
PCS2019,5,gDNA,13,,,,,,,"4,252,349.15",15.32,,,,"145,070.42",16.88,,,,"376,227.18",,,,
PCS2019,40,gDNA,14,0.69,"374,151.50",17.56,17750587,25677111,2118,"1,124,285.70",17.33,57196333,82737354,2177128,"33,192.05",19.1,1760666,2546891,58936,"89,445.75",4302339,6223548,264077,
PCS2019,40,gDNA,14,,"347,471.71",17.67,,,,"1,139,266.87",17.31,,,,"39,713.50",18.83,,,,"94,272.49",,,,
PCS2019,40,gDNA,14,,"369,152.68",17.58,,,,"1,249,875.96",17.17,,,,"32,972.26",19.11,,,,"98,205.99",,,,
PCS2019,40,gDNA,14,,"329,271.09",17.75,,,,"1,102,182.53",17.36,,,,"34,772.14",19.03,,,,"75,071.57",,,,
PCS2019,40,gDNA,14,,,,,,,"1,258,175.73",17.16,,,,"35,946.63",18.98,,,,"94,272.49",,,,
PCS2019,40,gDNA,14,,,,,,,"1,193,290.52",17.24,,,,"37,160.78",18.93,,,,"75,071.57",,,,
PCS2019,40,gDNA,14,,,,,,,"1,018,030.64",17.48,,,,"34,313.17",19.05,,,,"89,969.62",,,,
PCS2019,40,gDNA,14,,,,,,,"1,066,305.32",17.41,,,,"33,636.03",19.08,,,,"72,064.69",,,,
PCS2019,71,cDNA,15,2.9,"21,589,793.87",11.53,1.20E+11,41414747115,5529,"25,561,620.77",12.61,1.62E+11,55875658157,2517469342,86.83,28.05,545648,188466,10881,123.97,485798,167794,20457,
PCS2019,71,cDNA,15,,"16,386,964.41",11.94,,,,"23,609,985.33",12.73,,,,80.71,28.16,,,,65.98,,,,
PCS2019,71,cDNA,15,,"16,386,964.41",11.94,,,,"26,247,379.12",12.57,,,,78.59,28.2,,,,71.6,,,,
PCS2019,71,cDNA,15,,"16,168,027.82",11.96,,,,"22,993,133.47",12.77,,,,71.61,28.34,,,,45.94,,,,
PCS2019,71,cDNA,15,,,,,,,"28,043,346.37",12.47,,,,107.4,27.73,,,,61.88,,,,
PCS2019,71,cDNA,15,,,,,,,"23,766,766.88",12.72,,,,66.56,28.45,,,,49.85,,,,
PCS2019,71,cDNA,15,,,,,,,"17,998,891.55",13.14,,,,67.9,28.42,,,,86.32,,,,
PCS2019,71,cDNA,15,,,,,,,"22,097,941.79",12.83,,,,82.33,28.13,,,,65.98,,,,
PCS2019,89,cDNA,16,5.08,"784,021.44",16.46,1675514552,329637520,205,"2,954,864.09",15.87,7717283127,1518283485,27696684,41.53,29.16,83465,16421,1449,67.54,140324,27607,4071,
PCS2019,89,cDNA,16,,"591,094.91",16.88,,,,"2,858,680.14",15.92,,,,24.09,29.98,,,,68.74,,,,
PCS2019,89,cDNA,16,,"619,587.06",16.81,,,,"2,693,370.27",16.01,,,,22.54,30.08,,,,19.81,,,,
PCS2019,89,cDNA,16,,"534,375.15",17.03,,,,"3,034,136.17",15.83,,,,28.44,29.73,,,,48.42,,,,
PCS2019,89,cDNA,16,,,,,,,"2,747,383.15",15.98,,,,43.51,29.09,,,,77.25,,,,
PCS2019,89,cDNA,16,,,,,,,"3,014,120.97",15.84,,,,31,29.6,,,,37.45,,,,
PCS2019,89,cDNA,16,,,,,,,"3,136,223.56",15.78,,,,34.94,29.42,,,,74.59,,,,
PCS2019,89,cDNA,16,,,,,,,"2,858,680.14",15.92,,,,25.91,29.87,,,,29.82,,,,
PCS2019,6,cDNA,17,4.74,"276,448.72",18.01,747580875,157637668,24,"1,362,178.36",17.04,4010609882,845692030,23943655,19.87,30.27,74258,15658,883,28.29,121877,25699,5139,
PCS2019,6,cDNA,17,,"251,607.94",18.15,,,,"1,193,290.52",17.24,,,,24.74,29.94,,,,64.84,,,,
PCS2019,6,cDNA,17,,"249,921.49",18.16,,,,"1,514,342.82",16.88,,,,21.95,30.12,,,,33.71,,,,
PCS2019,6,cDNA,17,,"256,735.86",18.12,,,,"1,362,178.36",17.04,,,,22.24,30.1,,,,29.65,,,,
PCS2019,6,cDNA,17,,,,,,,"1,465,049.36",16.93,,,,30.19,29.64,,,,92.04,,,,
PCS2019,6,cDNA,17,,,,,,,"1,514,342.82",16.88,,,,29.99,29.65,,,,33.71,,,,
PCS2019,6,cDNA,17,,,,,,,"1,291,929.64",17.12,,,,29.79,29.66,,,,33.13,,,,
PCS2019,6,cDNA,17,,,,,,,"1,398,722.41",17,,,,26.79,29.82,,,,22.01,,,,
PCS2019,33,cDNA,18,5.01,"10,513,086.59",12.6,50435333867,10057898867,1607,"17,184,030.54",13.21,1.11E+11,22127651232,844990578,107.4,27.73,687940,137190,6871,97.58,526773,105050,5446,
PCS2019,33,cDNA,18,,"7,979,584.09",13.01,,,,"17,413,008.59",13.19,,,,119.44,27.57,,,,104.66,,,,
PCS2019,33,cDNA,18,,"8,364,218.61",12.94,,,,"17,880,158.78",13.15,,,,100.49,27.83,,,,76.8,,,,
PCS2019,33,cDNA,18,,"7,926,099.58",13.02,,,,"20,142,361.06",12.97,,,,125.13,27.5,,,,82.86,,,,
PCS2019,33,cDNA,18,,,,,,,"18,481,759.61",13.1,,,,146.76,27.26,,,,112.26,,,,
PCS2019,33,cDNA,18,,,,,,,"18,977,581.88",13.06,,,,131.08,27.43,,,,74.16,,,,
PCS2019,33,cDNA,18,,,,,,,"19,358,158.50",13.03,,,,122.66,27.53,,,,88.36,,,,
PCS2019,33,cDNA,18,,,,,,,"23,609,985.33",12.73,,,,95.93,27.9,,,,89.92,,,,
BIOS2020,R1,cDNA,19,2.8,"22,328,119.74",11.48,2.28E+11,81560773089,5580,"25,392,999.16",12.62,3.06E+11,1.09E+11,3929722951,25.07,29.92,341107,121824,5506,208.47,2369305,846181,25206,
BIOS2020,R1,cDNA,19,,"20,875,882.27",11.58,,,,"25,561,620.77",12.61,,,,22.69,30.07,,,,201.29,,,,
BIOS2020,R1,cDNA,19,,"14,914,485.34",12.08,,,,"21,520,594.70",12.87,,,,32.48,29.53,,,,174.97,,,,
BIOS2020,R1,cDNA,19,,"16,833,771.81",11.9,,,,"23,145,818.84",12.76,,,,27.88,29.76,,,,178.06,,,,
BIOS2020,R1,cDNA,19,,,,,,,"27,674,581.22",12.49,,,,32.48,29.53,,,,214.65,,,,
BIOS2020,R1,cDNA,19,,,,,,,"25,225,489.88",12.63,,,,25.07,29.92,,,,209.69,,,,
BIOS2020,R1,cDNA,19,,,,,,,"23,145,818.84",12.76,,,,29.99,29.65,,,,175.99,,,,
BIOS2020,R1,cDNA,19,,,,,,,"29,373,152.53",12.4,,,,28.25,29.74,,,,192.11,,,,
PCS2019,109,cDNA,20,3.5,"2,929,485.04",14.5,11506110901,3286521251,1129,"9,347,193.43",14.13,38080575745,10877056768,636416230,221.56,26.64,1049251,299700,9403,336.52,1299632,371217,17176,
PCS2019,109,cDNA,20,,"2,362,261.01",14.82,,,,"8,748,575.38",14.23,,,,263.34,26.38,,,,342.47,,,,
PCS2019,109,cDNA,20,,"2,362,261.01",14.82,,,,"7,513,224.86",14.46,,,,258.14,26.41,,,,277.53,,,,
PCS2019,109,cDNA,20,,"3,419,543.29",14.27,,,,"9,285,533.07",14.14,,,,230.57,26.58,,,,261.79,,,,
PCS2019,109,cDNA,20,,,,,,,"8,297,403.78",14.31,,,,251.37,26.45,,,,295.95,,,,
PCS2019,109,cDNA,20,,,,,,,"9,163,429.92",14.16,,,,281.42,26.28,,,,269.55,,,,
PCS2019,109,cDNA,20,,,,,,,"8,352,502.49",14.3,,,,279.56,26.29,,,,354.68,,,,
PCS2019,109,cDNA,20,,,,,,,"12,590,087.37",13.68,,,,233.65,26.56,,,,363.06,,,,
PCS2019,82,gDNA,21,0.69,"946,473.41",16.18,45449385,65868673,8788,"1,484,571.21",16.91,73838938,107012953,3072231,"40,512.98",18.8,2008301,2910582,150626,"427,804.40",16853276,24425037,1332930,
PCS2019,82,gDNA,21,,"832,941.54",16.37,,,,"1,398,722.41",17,,,,"39,713.50",18.83,,,,"367,540.84",,,,
PCS2019,82,gDNA,21,,"1,012,315.14",16.08,,,,"1,565,294.82",16.83,,,,"30,244.01",19.24,,,,"304,894.17",,,,
PCS2019,82,gDNA,21,,"844,220.68",16.35,,,,"1,565,294.82",16.83,,,,"36,914.71",18.94,,,,"297,854.77",,,,
PCS2019,82,gDNA,21,,,,,,,"1,575,689.12",16.82,,,,"46,270.15",18.6,,,,"334,755.23",,,,
PCS2019,82,gDNA,21,,,,,,,"1,586,152.45",16.81,,,,"36,670.27",18.95,,,,"359,055.05",,,,
PCS2019,82,gDNA,21,,,,,,,"1,380,329.45",17.02,,,,"49,121.20",18.51,,,,"348,722.80",,,,
PCS2019,82,gDNA,21,,,,,,,"1,258,175.73",17.16,,,,"41,881.37",18.75,,,,"255,896.84",,,,
PCS2019,32,gDNA,22,0.69,"451,676.99",17.28,22624942,32567931,4510,"1,883,991.96",16.55,93882818,135141526,3533403,"52,845.46",18.4,2705887,3895043,94489,"338,687.87",12302995,17709796,1032905,
PCS2019,32,gDNA,22,,"408,335.37",17.43,,,,"1,921,773.56",16.52,,,,"45,963.77",18.61,,,,"235,808.23",,,,
PCS2019,32,gDNA,22,,"513,241.62",17.09,,,,"1,798,698.29",16.62,,,,"54,268.65",18.36,,,,"239,975.77",,,,
PCS2019,32,gDNA,22,,"436,741.35",17.33,,,,"1,896,502.57",16.54,,,,"53,909.30",18.37,,,,"254,406.84",,,,
PCS2019,32,gDNA,22,,,,,,,"2,053,270.21",16.42,,,,"56,852.08",18.29,,,,"249,988.69",,,,
PCS2019,32,gDNA,22,,,,,,,"2,053,270.21",16.42,,,,"56,475.62",18.3,,,,"211,043.66",,,,
PCS2019,32,gDNA,22,,,,,,,"1,763,336.32",16.65,,,,"57,996.58",18.26,,,,"225,045.25",,,,
PCS2019,32,gDNA,22,,,,,,,"1,650,407.78",16.75,,,,"54,630.40",18.35,,,,"213,522.96",,,,
PCS2019,101,cDNA,23,3,"2,461.85",25.03,6074237,2023060,1,"9,771.01",24.5,24544673,8174745,208006,2.29,33.52,8534,2842,585,3.09,8267,2753,1677,Outlier
PCS2019,101,cDNA,23,,"2,380.44",25.08,,,,"10,578.70",24.38,,,,0.28,36.69,,,,17.02,,,,
PCS2019,101,cDNA,23,,"2,650.87",24.92,,,,"9,966.96",24.47,,,,2.74,33.25,,,,1.09,,,,
PCS2019,101,cDNA,23,,"2,225.62",25.18,,,,"10,099.77",24.45,,,,5.93,32.09,,,,0.19,,,,
PCS2019,101,cDNA,23,,,,,,,"9,328.65",24.57,,,,2.1,33.65,,,,3.58,,,,
PCS2019,101,cDNA,23,,,,,,,"10,790.85",24.35,,,,5.26,32.27,,,,0.13,,,,
PCS2019,101,cDNA,23,,,,,,,"8,616.41",24.69,,,,5.55,32.19,,,,0.34,,,,
PCS2019,101,cDNA,23,,,,,,,"9,390.60",24.56,,,,3.15,33.04,,,,1.01,,,,
PCS2019,37,cDNA,24,5.02,"6,609,974.41",13.29,24728772532,4927719055,567,"11,706,052.37",13.79,48161093324,9597093303,366282020,58.67,28.64,242350,48293,2659,189.88,446437,88962,9725,
PCS2019,37,cDNA,24,,"5,817,091.33",13.48,,,,"12,507,034.70",13.69,,,,63.54,28.52,,,,115.58,,,,
PCS2019,37,cDNA,24,,"6,221,759.16",13.38,,,,"12,842,569.11",13.65,,,,77.55,28.22,,,,82.38,,,,
PCS2019,37,cDNA,24,,"5,895,862.48",13.46,,,,"12,673,691.55",13.67,,,,62.7,28.54,,,,101.06,,,,
PCS2019,37,cDNA,24,,,,,,,"12,590,087.37",13.68,,,,63.96,28.51,,,,117.63,,,,
PCS2019,37,cDNA,24,,,,,,,"11,400,211.43",13.83,,,,53.82,28.77,,,,96.44,,,,
PCS2019,37,cDNA,24,,,,,,,"9,042,932.40",14.18,,,,55.27,28.73,,,,96.44,,,,
PCS2019,37,cDNA,24,,,,,,,"12,842,569.11",13.65,,,,45.58,29.02,,,,86.82,,,,
PCS2019,102,gDNA,25,0.7,"1,173,739.77",15.86,58917737,83856727,4604,"2,858,680.14",15.92,154113320,219347167,8150019,"65,363.97",18.08,3142236,4472297,56559,"593,292.81",25592651,36425635,1653276,
PCS2019,102,gDNA,25,,"1,127,320.57",15.92,,,,"3,418,015.86",15.65,,,,"61,162.48",18.18,,,,"464,249.24",,,,
PCS2019,102,gDNA,25,,"1,238,618.81",15.78,,,,"3,136,223.56",15.78,,,,"65,799.68",18.07,,,,"530,985.21",,,,
PCS2019,102,gDNA,25,,"1,173,739.77",15.86,,,,"3,034,136.17",15.83,,,,"62,393.75",18.15,,,,"489,301.41",,,,
PCS2019,102,gDNA,25,,,,,,,"3,556,480.31",15.59,,,,"60,757.48",18.19,,,,"614,449.12",,,,
PCS2019,102,gDNA,25,,,,,,,"3,014,120.97",15.84,,,,"62,393.75",18.15,,,,"509,717.38",,,,
PCS2019,102,gDNA,25,,,,,,,"3,136,223.56",15.78,,,,"59,955.51",18.21,,,,"472,454.10",,,,
PCS2019,102,gDNA,25,,,,,,,"2,504,250.57",16.12,,,,"64,931.15",18.09,,,,"420,374.95",,,,
PCS2019,105,cDNA,26,4.25,"12,691,434.69",12.32,64022146003,15053054479,2059,"35,353,584.86",12.12,1.86E+11,43788830037,1374308377,317.17,26.1,1906689,448306,16841,453.27,2664835,626563,22278,
PCS2019,105,cDNA,26,,"10,029,634.85",12.67,,,,"33,309,181.05",12.21,,,,338.96,26,,,,503.5,,,,
PCS2019,105,cDNA,26,,"11,786,440.66",12.43,,,,"32,012,354.68",12.27,,,,323.56,26.07,,,,466.7,,,,
PCS2019,105,cDNA,26,,"10,029,634.85",12.67,,,,"32,224,931.97",12.26,,,,294.82,26.21,,,,435.11,,,,
PCS2019,105,cDNA,26,,,,,,,"31,591,397.76",12.29,,,,408.26,25.72,,,,524.51,,,,
PCS2019,105,cDNA,26,,,,,,,"37,030,040.09",12.05,,,,298.77,26.19,,,,371.64,,,,
PCS2019,105,cDNA,26,,,,,,,"28,605,727.93",12.44,,,,332.27,26.03,,,,486.17,,,,
PCS2019,105,cDNA,26,,,,,,,"28,986,900.66",12.42,,,,338.96,26,,,,466.7,,,,
PCS2019,104,gDNA,27,0.71,"985,445.94",16.12,52330674,73653306,6371,"2,729,259.56",15.99,148049953,208374318,6131791,"54,630.40",18.35,2737459,3852863,175183,"472,454.10",26279171,36986870,1336123,
PCS2019,104,gDNA,27,,"1,046,934.20",16.03,,,,"2,858,680.14",15.92,,,,"50,780.35",18.46,,,,"495,049.63",,,,
PCS2019,104,gDNA,27,,"1,134,927.62",15.91,,,,"3,014,120.97",15.84,,,,"56,475.62",18.3,,,,"480,803.97",,,,
PCS2019,104,gDNA,27,,"1,019,146.14",16.07,,,,"2,783,992.16",15.96,,,,"59,955.51",18.21,,,,"506,749.47",,,,
PCS2019,104,gDNA,27,,,,,,,"3,418,015.86",15.65,,,,"61,162.48",18.18,,,,"603,778.31",,,,
PCS2019,104,gDNA,27,,,,,,,"3,241,745.82",15.73,,,,"52,495.53",18.41,,,,"610,871.39",,,,
PCS2019,104,gDNA,27,,,,,,,"2,821,088.99",15.94,,,,"40,512.98",18.8,,,,"534,095.06",,,,
PCS2019,104,gDNA,27,,,,,,,"2,821,088.99",15.94,,,,"61,980.60",18.16,,,,"500,865.39",,,,
PCS2019,7,gDNA,28,0.72,"784,021.44",16.46,37895358,52283883,4578,"2,222,996.48",16.3,107853931,148805092,3626298,"54,994.56",18.34,2690947,3712676,141917,"180,258.82",8787674,12124274,319024,
PCS2019,7,gDNA,28,,"718,386.95",16.59,,,,"2,026,270.06",16.44,,,,"52,147.92",18.42,,,,"164,179.26",,,,
PCS2019,7,gDNA,28,,"810,833.34",16.41,,,,"2,313,050.48",16.24,,,,"48,472.82",18.53,,,,"163,223.30",,,,
PCS2019,7,gDNA,28,,"718,386.95",16.59,,,,"2,208,332.10",16.31,,,,"53,552.33",18.38,,,,"187,780.07",,,,
PCS2019,7,gDNA,28,,,,,,,"2,136,448.56",16.36,,,,"54,630.40",18.35,,,,"170,033.75",,,,
PCS2019,7,gDNA,28,,,,,,,"2,313,050.48",16.24,,,,"45,659.41",18.62,,,,"188,879.86",,,,
PCS2019,7,gDNA,28,,,,,,,"2,164,916.84",16.34,,,,"55,730.17",18.32,,,,"192,218.00",,,,
PCS2019,7,gDNA,28,,,,,,,"1,871,563.89",16.56,,,,"65,363.97",18.08,,,,"159,454.80",,,,
PCS2019,57,cDNA,29,4.94,"3,757,148.36",14.13,11451007271,2318533939,568,"9,163,429.92",14.16,30752747782,6226639086,199154735,192.71,26.85,485602,98322,3521,119.71,425106,86073,8730,
PCS2019,57,cDNA,29,,"3,808,025.14",14.11,,,,"10,322,789.42",13.98,,,,175.59,26.99,,,,106.51,,,,
PCS2019,57,cDNA,29,,"4,128,084.55",13.99,,,,"10,599,725.66",13.94,,,,153.74,27.19,,,,142.63,,,,
PCS2019,57,cDNA,29,,"3,373,856.78",14.29,,,,"9,790,434.24",14.06,,,,154.77,27.18,,,,129.9,,,,
PCS2019,57,cDNA,29,,,,,,,"10,599,725.66",13.94,,,,148.72,27.24,,,,177.02,,,,
PCS2019,57,cDNA,29,,,,,,,"11,176,086.09",13.86,,,,144.82,27.28,,,,221.01,,,,
PCS2019,57,cDNA,29,,,,,,,"10,812,292.66",13.91,,,,150.71,27.22,,,,109.67,,,,
PCS2019,57,cDNA,29,,,,,,,"8,463,800.00",14.28,,,,156.84,27.16,,,,112.26,,,,
PCS2019,30,gDNA,30,0.73,"878,982.79",16,42231493,57551776,2916,"2,313,050.48",16.24,100289156,136670968,4561211,"75,150.27",17.87,2696708,3674991,508245,"218,569.29",10557110,14386904,332840,
PCS2019,30,gDNA,30,,"805,398.59",16,,,,"1,986,434.09",16.47,,,,"61,980.60",18.16,,,,"230,363.89",,,,
PCS2019,30,gDNA,30,,"849,917.39",16,,,,"2,080,630.13",16.4,,,,"57,996.58",18.26,,,,"184,519.00",,,,
PCS2019,30,gDNA,30,,"844,220.68",16,,,,"1,896,502.57",16.54,,,,"57,612.54",18.27,,,,"208,593.14",,,,
PCS2019,30,gDNA,30,,,,,,,"2,150,635.60",16.35,,,,"60,757.48",18.19,,,,"206,171.08",,,,
PCS2019,30,gDNA,30,,,,,,,"2,080,630.13",16.4,,,,"67,124.30",18.04,,,,"223,734.89",,,,
PCS2019,30,gDNA,30,,,,,,,"1,775,045.72",16.64,,,,"44,461.99",18.66,,,,"208,593.14",,,,
PCS2019,30,gDNA,30,,,,,,,"1,763,336.32",16.65,,,,"6,389.55",21.58,,,,"208,593.14",,,,
BIOS2020,R8,cDNA,31,2.8,"19,649,805.54",11.67,2.55E+11,91183967908,4567,"16,190,323.75",13.3,1.73E+11,61893172558,3010444536,18.71,30.36,295487,105531,13240,194.36,1669521,596257,39281,
BIOS2020,R8,cDNA,31,,"21,158,569.47",11.56,,,,"16,297,835.21",13.29,,,,13.25,30.88,,,,126.9,,,,
BIOS2020,R8,cDNA,31,,"19,649,805.54",11.67,,,,"16,406,060.61",13.28,,,,21.66,30.14,,,,153.87,,,,
BIOS2020,R8,cDNA,31,,"25,542,698.65",11.28,,,,"12,020,098.31",13.75,,,,29.4,29.68,,,,110.31,,,,
BIOS2020,R8,cDNA,31,,,,,,,"16,190,323.75",13.3,,,,25.91,29.87,,,,136.91,,,,
BIOS2020,R8,cDNA,31,,,,,,,"11,862,036.09",13.77,,,,23.3,30.03,,,,137.71,,,,
BIOS2020,R8,cDNA,31,,,,,,,"14,855,541.05",13.43,,,,43.22,29.1,,,,116.94,,,,
BIOS2020,R8,cDNA,31,,,,,,,"12,927,849.89",13.64,,,,23.61,30.01,,,,147.71,,,,
PCS2019,31,cDNA,32,5.01,"3,859,590.87",14.09,13587273089,2713547110,1131,"9,790,434.24",14.06,38450512134,7679044603,502155006,22.54,30.08,93984,18770,1579,29.3,92226,18419,1382,
PCS2019,31,cDNA,32,,"3,112,274.30",14.41,,,,"9,163,429.92",14.16,,,,12.15,31.01,,,,17.63,,,,
PCS2019,31,cDNA,32,,"2,315,078.32",14.85,,,,"8,983,279.14",14.19,,,,21.8,30.13,,,,18.15,,,,
PCS2019,31,cDNA,32,,"2,179,109.76",14.94,,,,"4,984,415.72",15.08,,,,18.59,30.37,,,,16.44,,,,
PCS2019,31,cDNA,32,,,,,,,"8,806,670.09",14.22,,,,23.93,29.99,,,,20.05,,,,
PCS2019,31,cDNA,32,,,,,,,"7,365,516.71",14.49,,,,17.74,30.44,,,,17.94,,,,
PCS2019,31,cDNA,32,,,,,,,"8,188,294.35",14.33,,,,26.44,29.84,,,,19.02,,,,
PCS2019,31,cDNA,32,,,,,,,"7,613,338.95",14.44,,,,15.43,30.65,,,,17.12,,,,
PCS2019,107,cDNA,33,3.18,"607,211.72",16.84,2448551834,768920938,102,"2,136,448.56",16.36,7981336484,2506386284,98120868,43.8,29.08,215502,67674,6014,69.95,254590,79949,6961,
PCS2019,107,cDNA,33,,"587,133.00",16.89,,,,"2,208,332.10",16.31,,,,38.86,29.26,,,,65.6,,,,
PCS2019,107,cDNA,33,,"680,757.73",16.67,,,,"2,122,355.11",16.37,,,,63.96,28.51,,,,52.85,,,,
PCS2019,107,cDNA,33,,"632,214.62",16.78,,,,"2,193,764.46",16.32,,,,71.61,28.34,,,,88.87,,,,
PCS2019,107,cDNA,33,,,,,,,"2,108,354.63",16.38,,,,75.52,28.26,,,,48.14,,,,
PCS2019,107,cDNA,33,,,,,,,"1,639,520.58",16.76,,,,44.09,29.07,,,,83.83,,,,
PCS2019,107,cDNA,33,,,,,,,"2,208,332.10",16.31,,,,56.38,28.7,,,,44.62,,,,
PCS2019,107,cDNA,33,,,,,,,"1,728,669.57",16.68,,,,47.12,28.97,,,,67.54,,,,
